"Last Time Detected","Site Name","Object Type","Object Name","Alarm Name","Probable Cause","Severity","OLC State","Additional Text","Alarm Type","Site ID","Object ID","Urgency","Acknowledged","Acknowledged By","First Time Detected","Number Of Occurrences"
2023/02/01 17:22:39 000 IST,billa,ltecmm.CMMInstance,cmmInst,CmmLSS_externalLinkDown,linkFailure,Major,In Service,LSS_externalLinkDown : ipds : billa-ipds0 : PoolType=IPDS:PoolId=0:Resource_type=mmeLink:LinkId=S1mme_31 : S1mme link 31 (10.41.227.24ENB NAME: T0002743N0018472 PLMN ID: 001-01f ENB ID: 167) intf name S1MME_1 is Disabled;,communicationsAlarm,10.103.253.100,network:10.103.253.100:cmmInst,Indeterminate,false,N/A,2023/02/01 17:22:39 000 IST,1
2023/02/01 17:21:13 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 1, Member ID - 0",CmmLSS_cpiFailuresOverSGs,thresholdCrossed,Critical,In Service,"LSS_cpiFailuresOverSGs : pm : billa-necc0 : PoolType=CPPS:PoolId=1:PoolMemberId=0:CompId=PMCPI:Resource_type=cpiFailuresOverSGs:UUID=48f0d6c1-639a-41a5-81c3-91ed9324729a : Counts: VS.AttSGsSignalingProcedures=108,VS.NbrSuccessSGsSignalingProcedures=37 over previous 35 minutes (7 interval(s)) resulted in a failure rate of 65.7% above threshold=10%. See alarm documentation for this alarm for a description of these values and calculation.;",qualityOfServiceAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-1-0,Indeterminate,false,N/A,2023/02/01 17:21:13 000 IST,1
2023/02/01 17:21:13 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 0, Member ID - 0",CmmLSS_cpiAttachWithSGWreselection,thresholdCrossed,Minor,In Service,"LSS_cpiAttachWithSGWreselection : pm : billa-necc0 : PoolType=CPPS:PoolId=0:PoolMemberId=0:CompId=PMCPI:Resource_type=cpiAttachWithSGWreselection:UUID=94e83f91-8629-4b35-b3a1-6dc177bf1116 : Counts: VS.AttAttachRequests=103,VS.AttachSgwReselection=18 over previous 30 minutes (6 interval(s)) resulted in a failure rate of 17.4% above threshold=15%. See alarm documentation for this alarm for a description of these values and calculation.;",qualityOfServiceAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-0-0,Indeterminate,false,N/A,2023/02/01 17:21:13 000 IST,1
2023/02/01 17:21:13 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 0, Member ID - 0",CmmLSS_cpiAttachFailures,thresholdCrossed,Critical,In Service,"LSS_cpiAttachFailures : pm : billa-necc0 : PoolType=CPPS:PoolId=0:PoolMemberId=0:CompId=PMCPI:Resource_type=cpiAttachFailures:UUID=94e83f91-8629-4b35-b3a1-6dc177bf1116 : Counts: VS.AttAttachRequests=103,VS.NbrSuccessAttachRequests=15 over previous 30 minutes (6 interval(s)) resulted in a failure rate of 85.4% above threshold=15%. See alarm documentation for this alarm for a description of these values and calculation.;",qualityOfServiceAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-0-0,Indeterminate,false,N/A,2023/02/01 17:21:13 000 IST,1
2023/02/01 17:16:45 000 IST,billa,ltecmm.CMMInstance,cmmInst,CmmLSS_externalLinkDown,linkFailure,Major,In Service,LSS_externalLinkDown : ipds : billa-ipds0 : PoolType=IPDS:PoolId=0:Resource_type=mmeLink:LinkId=S1mme_209 : S1mme link 209 (10.45.156.70ENB NAME: Ironhide eNB1 PLMN ID: 001-01f ENB ID: 3707) intf name S1MME_3 is Disabled;,communicationsAlarm,10.103.253.100,network:10.103.253.100:cmmInst,Indeterminate,false,N/A,2023/02/01 17:16:45 000 IST,1
2023/02/01 17:16:13 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 1, Member ID - 0",CmmLSS_cpiTauFailures,thresholdCrossed,Critical,In Service,"LSS_cpiTauFailures : pm : billa-necc0 : PoolType=CPPS:PoolId=1:PoolMemberId=0:CompId=PMCPI:Resource_type=cpiTauFailures:UUID=48f0d6c1-639a-41a5-81c3-91ed9324729a : Counts: VS.AttTAU=109,VS.NbrSuccessTAU=85 over previous 45 minutes (9 interval(s)) resulted in a failure rate of 22.0% above threshold=15%. See alarm documentation for this alarm for a description of these values and calculation.;",qualityOfServiceAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-1-0,Indeterminate,false,N/A,2023/02/01 17:16:13 000 IST,1
2023/02/01 17:15:21 000 IST,billa,ltecmm.CMMInstance,cmmInst,CmmLSS_externalLinkDown,linkFailure,Major,In Service,LSS_externalLinkDown : ipds : billa-ipds0 : PoolType=IPDS:PoolId=0:Resource_type=mmeLink:LinkId=S1mme_207 : S1mme link 207 (10.71.240.87ENB NAME: Ironhide eNB1 PLMN ID: 001-01f ENB ID: 2020) intf name S1MME_3 is Disabled;,communicationsAlarm,10.103.253.100,network:10.103.253.100:cmmInst,Indeterminate,false,N/A,2023/02/01 17:15:21 000 IST,1
2023/02/01 17:14:57 000 IST,billa,ltecmm.CMMInstance,cmmInst,CmmLSS_externalLinkDown,linkFailure,Major,In Service,LSS_externalLinkDown : ipds : billa-ipds0 : PoolType=IPDS:PoolId=0:Resource_type=mmeLink:LinkId=S1mme_292 : S1mme link 292 (10.71.240.94ENB NAME: Ironhide eNB1 PLMN ID: 001-01f ENB ID: 2027) intf name S1MME_3 is Disabled;,communicationsAlarm,10.103.253.100,network:10.103.253.100:cmmInst,Indeterminate,false,N/A,2023/02/01 17:14:57 000 IST,1
2023/02/01 17:13:54 000 IST,billa,ltecmm.CMMInstance,cmmInst,CmmLSS_externalLinkDown,linkFailure,Major,In Service,LSS_externalLinkDown : ipds : billa-ipds0 : PoolType=IPDS:PoolId=0:Resource_type=mmeLink:LinkId=S1mme_18 : S1mme link 18 (10.43.197.144ENB NAME: eNBlab1 PLMN ID: 404-99f ENB ID: 1415) intf name S1MME_3 is Disabled;,communicationsAlarm,10.103.253.100,network:10.103.253.100:cmmInst,Indeterminate,false,N/A,2023/02/01 17:13:54 000 IST,1
2023/02/01 17:13:25 000 IST,billa,ltecmm.CMMInstance,cmmInst,CmmLSS_externalLinkDown,linkFailure,Major,In Service,LSS_externalLinkDown : ipds : billa-ipds0 : PoolType=IPDS:PoolId=0:Resource_type=mmeLink:LinkId=S1mme_216 : S1mme link 216 (10.71.240.86ENB NAME: MRBTS PLMN ID: 404-99f ENB ID: 201) intf name S1MME_3 is Disabled;,communicationsAlarm,10.103.253.100,network:10.103.253.100:cmmInst,Indeterminate,false,N/A,2023/02/01 17:13:25 000 IST,1
2023/02/01 17:06:14 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 0, Member ID - 0",CmmLSS_cpiServiceRequestFailures,thresholdCrossed,Minor,In Service,"LSS_cpiServiceRequestFailures : pm : billa-necc0 : PoolType=CPPS:PoolId=0:PoolMemberId=0:CompId=PMCPI:Resource_type=cpiServiceRequestFailures:UUID=94e83f91-8629-4b35-b3a1-6dc177bf1116 : Counts: VS.AttServiceRequests=148,VS.NbrSuccessServiceRequests=140 over previous 25 minutes (5 interval(s)) resulted in a failure rate of 5.4% above threshold=5%. See alarm documentation for this alarm for a description of these values and calculation.;",qualityOfServiceAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-0-0,Indeterminate,false,N/A,2023/02/01 17:06:14 000 IST,1
2023/02/01 16:56:13 000 IST,billa,ltecmm.CppsVNFCMember,"CPPS, Pool ID - 1, Member ID - 0",CmmLSS_cpiUEauthFailures,thresholdCrossed,Minor,In Service,"LSS_cpiUEauthFailures : pm : billa-necc0 : PoolType=CPPS:PoolId=1:PoolMemberId=0:CompId=PMCPI:Resource_type=cpiUEauthFailures:UUID=48f0d6c1-639a-41a5-81c3-91ed9324729a : Counts: VS.AttAuthRequestsUE=104,VS.NbrSuccessAuthRequestsUE=94 over previous 25 minutes (5 interval(s)) resulted in a failure rate of 9.6% above threshold=5%. See alarm documentation for this alarm for a description of these values and calculation.;",qualityOfServiceAlarm,10.103.253.100,network:10.103.253.100:cmmInst:cvnfc-cmmAgg-cpps-1-0,Indeterminate,false,N/A,2023/02/01 16:56:13 000 IST,1
2023/02/01 16:47:03 975 IST,billa,ltecmm.CMMInstance,cmmInst,PmFileNotificationMissing,PMFileNotificationMissing,Critical,In Service,N/A,communicationsAlarm,10.103.253.100,network:10.103.253.100:cmmInst,Indeterminate,false,N/A,2022/08/20 02:19:49 183 IST,168780
2023/02/01 16:46:25 000 IST,billa,lte.MmeS11Peer,mmeS11-7,CmmLSS_externalLinkDown,linkFailure,Major,In Service,LSS_externalLinkDown : ipds : billa-ipds0 : PoolType=IPDS:PoolId=0:Resource_type=mmeLink:LinkId=S11_7 : S11 link 7 (27.180.1.12) intf name S11 is Disabled;,communicationsAlarm,10.103.253.100,network:10.103.253.100:cmmInst:mmeS11-7,Indeterminate,false,N/A,2023/02/01 16:46:25 000 IST,1
